id,resourceType,title,description,startDate,endDate,lat,lon,documentType,author,Evacuated,Homeless,Injuries,Deaths,Insured Cost,Train(s) damaged,Train(s) destroyed,Home(s) damaged,Home(s) destroyed,Building(s) damaged,Building(s) destroyed,Ind Premises destroyed,Com Premises damaged,Com Premises destroyed,Bridge(s) damaged,Bridge(s) destroyed,Aircraft damaged,Aircraft destroyed,Motor Vehicle(s) damaged,Motor Vehicle(s) destroyed,Water vessel(s) damaged,Water vessel(s) destroyed,Business(es) damaged,Business(es) destroyed,Farm(s) damaged,Farm(s) destroyed,Crop(s) destroyed,Livestock destroyed,Government assistance,regions,subjects,url,resourceUrl
175,Disaster Event,Shipwreck - Carlisle Castle and City of York,"In the same locality and only hours apart, two shipwrecks occurred off the coast of Fremantle on 12 July 1899. Carlisle Castle was an iron three mast barque. It was en route from Glasgow for Australia with a general cargo when it wrecked in a gale on Coventry Reef whilst approaching Fremantle. The first indication that the ship had been lost came when life buoys and two damaged boats carrying the vessels name washed ashore near Rockingham. No survivors were found and it was later confirmed that 22 died.  City of York was an iron ship. Wrecked in a gale when it struck a reef on the north central side of Rottnest Island whilst approaching Fremantle on 12 July 1899. It was en route from San Francisco laden with oregon. The ship had sent up a flare to signal to the lighthouse it was in need of a pilot to navigate around the reef. Pilots were otherwise engaged so the light house sent up a flare intending it to be a signal warning the ship to stand off. The captain misunderstood the meaning of the flare and continued on hitting the reef. Two life boats were launched, the first reached safety with six onboard. The other had the captain and 16 men but were overcome by a large wave and 11 were lost and never seen again, five regained safety.",12/07/1899 00:00:00,12/07/1899 00:00:00,-32.05973816,115.7182236,,,,,,33,,,,,,,,,,,,,,,,,,2,,,,,,,,Western Australia,,http://www.emknowledge.gov.au/resource/?id=175,
176,Disaster Event,Shipwreck - Balclutha,"The Balclutha was an iron, single screw steamer rigged as a three masted schooner. It left Melbourne for Sydney with a cargo of bluestone on 18 October 1881 and was last seen three days later by the steamer Cahors in heavy seas off Gabo Island on the far eastern Victorian coast line. The vessel and all 22 seamen disappeared presumably on the southern New South Wales coast.  &nbsp;",18/10/1881 00:00:00,18/10/1881 00:00:00,-37.58675766,149.8890533,,,,,,22,,,,,,,,,,,,,,,,,,1,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=176,
177,Disaster Event,Cyclone Joan,"Tropical Cyclone Joan developed over the Timor sea and was named on 1 December 1975. The system passed close to the northern tip of Western Australia before moving west to south-westerly over the ocean and gradually intensified. Late on the 6th, the cyclone suddenly took a southerly direction and the eye crossed the coast 50 km west of Port Hedland at about 6am on 8 December 1975.  Despite Port Hedland not being in the centre of the storm it was subjected to strong winds exceeding 90 km per hour for approximately 10 hours with winds in excess of 120 km per hour for three hours. The maximum measured wind gust was 208 km per hour. Severe property damage occurred at Port Hedland and other townships nearby. Eighty-five per cent of all houses were damaged to some degree. Power and communications were lost for several days.  Heavy rainfall inland caused flooding. Marandoo, near Tom Price registered 591 mm while many other sites recorded rainfall over 400 mm. The heavy rain occurred along and just east of the cyclone track. Some of the two and three-day totals registered over the Hamersley Range represent in excess of a once in 100 year event.  The Insurance Council of Australia estimated the 1975 damage at $20 million, with the 2011 estimated normalised cost of $398 million.",12/8/1975 0:00,12/9/1975 0:00,-13.41099358,125.859375,,,,20,,,20000000,,,,,,,,,,,,,,,,,,,,,,,,,Western Australia,,http://www.emknowledge.gov.au/resource/?id=177,
178,Disaster Event,Shipwreck - Domain,The Domain was a wooden single mast sloop. It left Melbourne headed for Western Port and Port Albert and capsized in a gale four nautical miles off Shoal Lagoon near Wilsons Promontory on 11 April 1846. Fifteen occupants were thrown into the sea. Only one survived.,11/04/1846 00:00:00,11/04/1846 00:00:00,-39.010648,146.163483,,,,,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,Victoria,,http://www.emknowledge.gov.au/resource/?id=178,
179,Disaster Event,Shipwreck - Alert,"On 28 December 1893 the Alert, an iron screw steamship en route from Gippsland to Melbourne, foundered in a tremendous gale with huge seas off Jubilee Point near Cape Schanck on the Gippsland coast. Fifteen lives were lost. There was one survivor.",28/12/1893 00:00:00,28/12/1893 00:00:00,-39.09809494,146.6921997,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,Victoria,,http://www.emknowledge.gov.au/resource/?id=179,
180,Disaster Event,Hail - Toowoomba,"A severe storm caused extreme weather conditions in the Toowoomba region on 9 January 1976. Gale force winds combined with large hail produced widespread damage to infrastructure, buildings and houses.  The Insurance Council of Australia estimated the 1976 damage at $12 million, with the 2011 estimated normalised cost of $282 million.",1/9/1976 0:00,1/9/1976 0:00,-27.56375313,151.9540558,,,,,,,12000000,,,,,,,,,,,,,,,,,,,,,,,,,Queensland,,http://www.emknowledge.gov.au/resource/?id=180,
181,Disaster Event,"Flood - Sydney,  North Coast, and North Western Districts","Wide spread flooding occurred in New South Wales a result of a cyclone that moved south from Queensland.  Exceptionally heavy rain fell in the north coast and north-western districts. At Murwillumbah on the Tweed River six inches of rain fell in 24 hours, with two inches recorded in the city. Heavy seas caused high tides along the New South Wales coast.  The resulting damage included; the closure of the Mascot airport, road closures, 8000 homes damaged, 1000 head of cattle dead, and 10 casualties.",1/16/1950 0:00,1/19/1950 0:00,-28.32561302,153.395401,,,,,,10,,,,8000,,,,,,,,,,,,,,,,,,,,1000,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=181,
182,Disaster Event,Shipwreck - Star of Greece,"The Star of Greece was a three masted ship. It wrecked in high seas near Port Willunga, South Australia 13 July 1888. Of the 28 seaman,17 died even though the wreck occurred 200 m from shore. Rescue efforts from Port Adelaide were unable to cope with the raging seas. The search for bodies among the wreckage, cargo and provisions along the beach was carried out for days.",13/07/1888 00:00:00,13/07/1888 00:00:00,-35.28150177,138.416748,,,,,,17,,,,,,,,,,,,,,,,,,1,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=182,
183,Disaster Event,Shipwreck - Rainbow,"The Rainbow, a wooden paddle steamer, left Richmond River for Sydney on 2 June 1864 and encountered a gale off Seal Rock Bay at Sugarloaf Point. The Rainbow, in attempting to shelter from the weather, foundered and seven lives were lost. The Captain and the cook were injured and the remaining crew walked to Port Stephens.   Four other vessels were lost in the same gale.",02/06/1864 00:00:00,02/06/1864 00:00:00,-32.39851761,152.5012207,,,,,2,7,,,,,,,,,,,,,,,,,,1,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=183,
184,Disaster Event,Chemical - HMAS Westralia (II),"At approximately 10.35 am on 5 May 1998 as a result of a burst fuel hose, a fire started in the main engine room of the HMAS Westralia. The blaze was instigated by the fuel hose rupture spreading diesel fuel to an exposed indicator cock. HMAS Westralia was approximately 20 km off the Western Australian Coast, near Rottnest Island, at the time of the incident. It was carrying a crew of 98. The engine room was drenched with carbon dioxide to isolate the fire and prevent it from reaching the 20,000 tonnes of highly flammable fuel on board. Four sailors were killed by acute smoke inhalation within five minutes of the fire starting. Nine people required treatment for injuries, although many more suffered smoke inhalation.  A Coroner's Court Inquest and a Royal Australian Navy Board of Inquiry found that the fire and subsequent deaths were caused by failings in the machinery and the actions of the company contracted to maintain it.",5/5/1998 0:00,5/5/1998 0:00,-31.99642944,115.6283569,,,,,9,4,,,,,,,,,,,,,,,,,1,,,,,,,,,Western Australia,,http://www.emknowledge.gov.au/resource/?id=184,
185,Disaster Event,Transport - Sydenham Train Derailment,"On 15 February 1901, a railway accident occurred at Sydenham close to Tempe station. An inquest was established several months later to determine the cause for the incident. It concluded that several engine defects combined with high speed created conditions for accident to occur. As a result 30 people sustained various injuries and seven people died.",2/15/1901 0:00,2/15/1901 0:00,-33.92403412,151.1565094,,,,,30,7,,,1,,,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=185,
186,Disaster Event,"Flood - Brisbane, Sunshine Coast, and Gold Coast","During the period 9 - 11 March 2001, thunderstorm activity brought intense rainfall to the Queensland south-east Coast district.  Subsequent heavy rain affected the Gold Coast and Logan City, with heavy rain falling over Brisbane City, producing areas of flash flooding, particularly across southern suburbs but also in the east and north. Intense rainfall was observed across the district for duration of approximately 6 hours.  Gold Coast and Logan City: A person drowned during the early morning hours of 11 March, when the vehicle in which they were passenger was swept off a road near Logan. Many homes and businesses were damaged by flash flooding. Flooding at Beenleigh also led to four houses being inundated with sewage.  Brisbane City: A person was confirmed drowned, after being swept away by flood waters on the evening of 9 March, when vehicle in which they were passenger was washed off a road at Lawnton (in Brisbane's north). The damage inventory included hundreds of cars, many shops and offices, and up to 600 homes.  Stones Corner, a suburb in inner-eastern Brisbane, was one of the worst hit areas. Metre-deep flooding entered East's League's Club, forcing 50 patrons to be evacuated. About 30 cars were submerged in the club car park. Many houses throughout Brisbane's southern suburbs were also flooded. Over 100 homes were inundated in Wishart (southern suburb). Heavy rain downed powerlines at Annerley, Woolloongabba, Greenslopes and Holland Park. A block of flats at Greenslopes had the roof torn off. Cars that were stalled on flooded roads caused peak-hour traffic chaos. Many cars that had been left in flooded streets floated away. A car dealership in Salisbury reported damage to about 50 vehicles.  Three flights were diverted from Brisbane Airport to the Amberley RAAF Base after lights along the Brisbane runway went out (due to lightning). A house boat, moored on Norman Creek in eastern Brisbane, was damaged. The northern suburbs of McDowall, Windsor, Ferny Hills, Arana Hills and Everton Hills also recorded severe water damage. In the northern suburb of Aspley,six new cars were swept from the yard of a car dealership and into Cabbage Tree Creek and another 80 new vehicles were damaged. Flash flooding caused problems in Everton Hills near Kedron Brook.  Sunshine Coast: A person was rescued from a vehicle that was washed into a waterway. Shops in the main street of Beerwah were flooded, trees came down on powerlines and cars were swept away. Numerous traffic accidents were reported. Flash flooding was also reported near Sunrise Beach, and at Noosaville, Nambour, Eumundi and Hunchy. Powerlines were brought down at Nambour. Two homes were evacuated when it was believed that the roofs could be blown off.  Rainfall recorded during the flash flooding:    On the Gold Coast centred around Carrara a total of 176 mm  At Beenleigh where 317 mm was recorded at the Bowling Club  In the northern suburbs of Brisbane where 187mm was recorded at Everton Hills  Approximately 200 mm between Landsbrough and Nambour  An area up to 230 mm centred between Ball Lookout and Cooroy    The Insurance Council of Australia estimated the 2001 damage at $37 million, with the 2011 estimated normalised cost of $99 million.",3/9/2001 0:00,3/11/2001 0:00,-27.96529579,153.3924866,,,50,,,2,37000000,,,707,,,,,,,,,,,166,,,,,,,,,,,Queensland,,http://www.emknowledge.gov.au/resource/?id=186,
187,Disaster Event,Shipwreck - Schah,"On 20 December 1837 the Schah, a wooden two mast brig, was en route from Hobart to Sydney when it was blown ashore in a gale about two nautical miles east of Ram Head on the Gippsland coast.The Schah carried ten passengers and a crew of nine. When the vessel struck, five people drowned in heavy seas immediately. Two others drowned with the vessel. The resulting survivors managed to reach the shore but sustained injuries.",20/12/1837 00:00:00,20/12/1837 00:00:00,-37.77695465,149.4868469,,,,,12,7,,,,,,,,,,,,,,,,,,1,,,,,,,,Victoria,,http://www.emknowledge.gov.au/resource/?id=187,
188,Disaster Event,Severe Storm - Adelaide,"On 6 December 1986 two severe storms occurred over Adelaide and region with strong winds heavy and rain. Most damage was caused by wind and there was some flooding reported. Some areas in Adelaide Hills and the Far-North of the state were flooded.  The Insurance Council of Australia estimated the 1986 damage at $10 million, with the 2011 estimated normalised cost of $50 million.",12/6/1986 0:00,12/8/1986 0:00,-34.92745972,138.5999908,,,,50,,,10000000,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=188,
189,Disaster Event,Shipwreck - Georgette,"The Georgette was a coastal steamer. It wrecked near the mouth of Margaret River on 30 November 1876. Whilst at Bunbury loading passengers and timber, a large jarrah log crashed into the hold, causing damage to the hull that was not immediately noticed. When well at sea a serious leak developed resulting in the wreck. Several unsuccessful attempts at launching life boats saw 12 people die when the lifeboat crashed against the hull and broke up. The remaining passengers and crew stayed onboard drifting. When it became grounded, they were spotted by a woman and a stockman who rode their horses into the surf and helped people reach safety.",30/11/1876 00:00:00,30/11/1876 00:00:00,-33.97399902,114.9775772,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,Western Australia,,http://www.emknowledge.gov.au/resource/?id=189,
190,Disaster Event,"Transport - Essendon Melbourne, Light Aircraft Crash","On 10 July 1978, the Partenavia P68B aircraft with a crew of two and one passenger aboard, took off from Runway 26 at Essendon Airport, Victoria, and climbed to a height of 200 to 250 feet. One engine failed and the aircraft descended and crashed into houses 286 m beyond the western end of the runway. One house was destroyed by explosion and ensuing fire and two other houses were damaged. Six persons on the ground were killed, and one person received minor injuries. The aircraft was destroyed and the three occupants were seriously injured.",7/10/1978 0:00,7/10/1978 0:00,-37.71876144,144.897049,,,,,4,6,,,,2,1,,,,,,,,,1,,,,,,,,,,,,Victoria,,http://www.emknowledge.gov.au/resource/?id=190,
191,Disaster Event,Severe Storm - Western Sydney,"On 9 November 1976, a severe hailstorm spread across the Sydney metropolitan area, focusing on the western suburbs. Wind gusts reached 96 km per hour and large hailstones ranging between one and 4.4 cm in diameter were recorded. The storm caused extensive damage to homes and vehicles and ten people sustained injuries.  The Insurance Council of Australia estimated the 1976 damage at $40 million, with the 2011 estimated normalised cost of $650 million.",11/9/1976 0:00,11/9/1976 0:00,-33.85551834,150.862793,,,,,10,,732000000,,,,,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=191,
192,Disaster Event,Hail - Singleton,"In the afternoon of 11 December 1996, Singleton in the upper Hunter Valley experienced a severe storm. Hailstones as large as 7 cm penetrated roofs and smashed windows for a period up to fifteen minutes exposing houses to flooding from subsequent large downpours of rain. The storm damaged 700 houses in Singleton and surrounding areas. Approximately 2000 vehicles were seriously damaged and more than 50 cars written off completely.  Damage also occurred to crops; grape, barley, lucerne and other market garden enterprises.  The Insurance Council of Australia estimated the 1996 damage at $49 million, with the 2011 estimated normalised cost of $149 million.",12/11/1996 0:00,12/11/1996 0:00,-32.56196976,151.1753235,,,,,,,49000000,,,700,,,,,,,,,,,2000,50,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=192,
193,Disaster Event,Flood - Clermont and Peak Downs Feb 1870,"A tropical cyclone brought about heavy rainfall to the Bowen district. A 1.5 m wall of water flowed at a rate of 14 km per hour through Clermont destroying houses, furniture, fences, business and livestock. Other towns affected included Peak Downs, Lilyvale and Capella.  As a result of the floods 15 people died.",01/02/1870 00:00:00,01/02/1870 00:00:00,-22.81669426,147.6480103,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,Queensland,,http://www.emknowledge.gov.au/resource/?id=193,
194,Disaster Event,Epidemic - Bubonic Plague Sydney,"Between 1900 and 1925, there were 12 major plague outbreaks in 27 localities of Australia introduced by infected rats from overseas ships. According to Government health archives, there were 1371 reported cases of plague and 535 deaths. Sydney was most affected, but the disease also spread to Queensland with occasional cases found in Melbourne, Adelaide, Perth, Kalgoorlie and Fremantle.",1/19/1900 0:00,1/1/1925 0:00,-33.87497711,151.2158203,,,,,1371,535,,,,,,,,,,,,,,,,,,,,,,,,,,Queensland;New South Wales;South Australia;Western Australia;Victoria,,http://www.emknowledge.gov.au/resource/?id=194,
195,Disaster Event,Bushfire - Western Sydney and Central Coast,"On 16 October 1991, a number of fires erupted on the coast of New South Wales many of which were believed to be deliberately lit. Major towns affected included Kenthurst, Hunter, Shoalhaven, Baulkham Hills, Gosford, Wyong Shire, Lake Macquarie and Cooma. Approximately 2500 firefighters were activated to control around thirty separate incidents across the state. A total of fourteen homes were completely destroyed and two people died via the fires at Kenthurst.",10/16/1991 0:00,1/31/1992 0:00,-33.65120697,151.0015869,,,,,,2,12000000,,,,14,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=195,
196,Disaster Event,Bushfire - Central Victoria and Alpine Fires,"On 14 January 1985 a significant number of bushfires started in Victoria predominantly from lightning strikes. A major fire in Central Victoria burnt 50,800 hectares of land, including 17,600 hectares of Crown Land. Three people died and over 180 houses, 500 farms and 46,000 livestock were destroyed as a result of the fire. Areas affected including Avoca, Maryborough, and Little River. A large number of fires also started in the Victorian alpine areas, the largest at Mt Buffalo burning 51,400 hectares. Overall, 111 fires started on public land on and it took two weeks to bring the fires under control.",1/14/1985 0:00,1/28/1985 0:00,-37.04653931,143.736969,,,,600,,3,,,,,180,,,,,,,,,,,,,,,,,500,,46000,,Victoria,,http://www.emknowledge.gov.au/resource/?id=196,
197,Disaster Event,Environmental - Northern Australia,"A severe dry commenced in February 1951. Low rainfall, grass fires and bushfires over an area of about 6 million ha and cold winters caused one of the worst droughts in Queensland. Losses occurred in the cropping, farming and dairy industries. Crop and dairy production were the lowest since 1926. The dry conditions continued until April 1952. A further period of dry weather followed in 1953. By early 1954 the drought covered the Gulf of Carpentaria to the Darling Downs and west to the border with South Australia.",1/1/1951 0:00,4/1/1954 0:00,-25.16517258,143.6572266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,,Western Australia,,http://www.emknowledge.gov.au/resource/?id=197,
198,Disaster Event,Transport - Wokalup Train Crash,"On 6 November 1920 nine people were killed after a private mill train ran out of control down a steep gradient. The 32 wagon trail loaded with sleepers departed the Mornington Timber Mill en route for Wokalup 10 km away where it would then travel to Perth or Bunbury. The train was estimated to weigh 600 tonnes and only three wagons had vacuum brakes. The line to Wokalup was almost all downhill and shortly into the journey the train started to gather speed at an alarming rate. The train left the line on a sharp 'S' bend. Most of the 32 wagons were derailed with some lying on their side. Seven mill workers, the driver and fireman died.",11/6/1920 0:00,11/6/1920 0:00,-33.17391205,115.8625031,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,Western Australia,,http://www.emknowledge.gov.au/resource/?id=198,
199,Disaster Event,Industrial - Bellbird Colliery,"On 1 September 1923, an explosion occurred at the Bellbird Colliery and 21 miners were killed.  This incident introduced legislation, which resulted in the commencement of the NSW Mines Rescue Act (1925). The legislation established a platform for safety and conditions for the mining industry.",9/1/1923 0:00,9/1/1923 0:00,-32.84729004,151.3215637,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=199,
200,Disaster Event,Criminal Act - Queen Street Shooting,"On 8 December 1987 at approximately 4.00 pm, a gunman entered the Australia Post building on Queen Street Melbourne with a sawn-off M1 carbine. The massacre ended on the 11th floor, when the gun was wrestled from the offender by an office worker.  The gunman then took his own life by breaking a window and jumping to his death.  The attack resulted in nine fatalities, and five injuries.",12/8/1987 0:00,12/8/1987 0:00,-37.8139801,144.9599915,,,,,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,Victoria,,http://www.emknowledge.gov.au/resource/?id=200,
201,Disaster Event,Flood - Sydney and Wollongong,"During the period between 17-18 August, a low pressure trough moved along the central and southern New South Wales coast causing heavy rainfall. On 17 August between the hours 6:00 pm to 9:00 pm, a thunderstorm remained over the Wollongong area dumping heavy falls. Due to the flash flooding, many areas were isolated until 9:00 pm.  As a result, major roads and train lines to Wollongong were disrupted and mudslides were reported on some roads, including Bulli Pass. Fifty homes were flooded in north Wollongong, and it was reported homes along the coast were dislodged from their foundations. One person drowned in attempting to cross a flooded creek at Bellambi.  Damage recorded in Sydney suburbs included; erosion of beach side suburbs, 14 metropolitan roads blocked, power loss to thousands of homes, reports of winds reaching up to 92 km per hour which brought down trees and power lines.  Due to the impact of the flood, the State Emergency Services (SES) obtained access to the Natural Disaster Relief Arrangements (NDRA) funding which assisted in the response efforts. During the cleanup operation up to 450 personnel assisted and 41 SES volunteer units sent teams into Wollongong.  Rainfall recorded for 24 hours to 9:00am on 18 August were:  Mt Ousley: 445 mm  Bulli Pass: 410 mm  Keiraville: 337 mm  Figtree: 313 mm  Wollongong: 316 mm  The Insurance Council of Australia estimated the 1998 damage at $40 million, with the 2011 estimated normalised cost of $97 million.",8/17/1998 0:00,8/19/1998 0:00,-34.42443466,150.8930969,,,,,,1,40000000,,,50,,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=201,
202,Disaster Event,Complex Emergencies - Lake Illawarra,"The Lake Illawarra was a steel single screw steam turbine motor vessel, bulk carrier. The Lake Illawarra sank after running into and demolishing part of the Tasman Bridge that crossed the Derwent River at Hobart, 5 January 1975. The vessel was en route from Port Pirie in South Australia with a cargo of zinc. When approaching the bridge, the captain reduced speed, but was finding it difficult to align the ship to the central navigation span of the bridge. Despite several attempts to change the course, the ship was difficult to manage in part due to the lack of speed. The master finally called out full speed astern in a last attempt to change the course of the ship when the ship veered into the pile capping of Pier 18 and then Pier 19 bringing the three unsupported spans of the bridge crashing into vessels' hull. The ship sank within minutes in deep water.  Seven crew members on the ship died and four cars ran over the gap into the Derwent River, five occupants died while others managed to escape from the two vehicles which teetered on the edge of the gap. The collapse effectively divided Hobart in two. Police and emergency services were called into action and within an hour a ferry was traversing the river. The next day there were three private ferries and one government run ferry in operation. Eastern shore residents were severely hindered by the collapse as most hospitals, schools, businesses and government offices were located on the west shore.  A temporary bridge (the Bailey bridge) with one lane in each direction was built and opened to traffic on 16 December 1975. The federal government provided funding to rebuild the Tasman bridge at a cost of $44 million and it re-opened 8 October 1977.",1/5/1975 0:00,1/5/1975 0:00,-42.94033813,147.3829651,,,,,,12,,,,,,,,,,,1,,,,,,,1,,,,,,,,Tasmania,,http://www.emknowledge.gov.au/resource/?id=202,
203,Disaster Event,Shipwreck - Keilawarra,"On 8 December 1886, the vessel Keilawarra, on a 52 day voyage, struck the SS Helen Nicholl near North Solitary Island, Coffs Harbour. The impact caused significant damage to the Keilawarra, which was the bigger of the two vessels. After the initial impact it took approximately seven minutes for the Keilawarra to sink.  As a result 40 people died. This event brought about important safety changes including the equal ratio of lifebelts to passenger's regulation and that they were to be readily accessible. The wreckage was discovered 144 years later by John Riley on 18 September 2000.",08/12/1886 00:00:00,08/12/1886 00:00:00,-30.23798943,153.1813049,,,,,,40,,,,,,,,,,,,,,,,,1,1,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=203,
204,Disaster Event,Complex Emergencies -  Cape Moreton,"Australian Hospital Ship (AHS) Centaur was en route from Sydney to Port Moresby when, at approximately 4:10 am on 14 May 1943, the vessel was torpedoed by an unknown Japanese sub-marine. The torpedo hit the fuel bunkers, which caused a major explosion and many concussion deaths, with passengers dying from fire related injuries. Of the 332 individuals aboard the Centaur 268 perished. The other 64 passengers spent approximately 36 hours at sea, drifting 36 km north-east of the sinking position before being rescued on 15 May 1943.",5/14/1943 0:00,5/14/1943 0:00,-26.97470856,153.432312,,,,,,268,,,,,,,,,,,,,,,,,,1,,,,,,,,Queensland,,http://www.emknowledge.gov.au/resource/?id=204,
205,Disaster Event,Transport - Aberdeen Bridge Collapse,"On Thursday 10 June 1926, the Brisbane Limited train left Sydney with 143 passengers en route to Brisbane. At approximately 9:50 pm, the eight carriage train left Aberdeen station and fell through the Hunter River bridge, overturning the engine and derailing four carriages. As a result 39 passengers were injured and four people died.  A coronial inquest into the four deaths was held at Muswellbrook on 28 June 1926 and the deaths were ruled as accidental. It was established that the poor condition of the railway track caused the engine to roll off the tracks as the train approached the bridge.",6/10/1926 0:00,6/10/1926 0:00,-32.16685867,150.8920288,,,,,39,4,,,1,,,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=205,
206,Disaster Event,Bushfire - South-East Victoria,"Throughout February and March 1926, forest fires raged across large areas of Gippsland. In total, 60 people died. There was&nbsp;widespread destruction to farms, houses and sawmills. It is estimated 400,000 hectares of forest was burnt. The fires reached their peak on 14 February (Black Sunday) when 31 people died at Warburton near Melbourne. Other areas badly affected include Noojee, Kinglake, Erica and the Dandenong Ranges. Widespread fires also occurred across New South Wales, Australian Capital Territory and Queensland.",2/1/1926 0:00,3/10/1926 0:00,-37.75360107,145.6890869,,,,700,,60,,,,,,,,,,,,,,,,,,,,,,,,,,Victoria,,http://www.emknowledge.gov.au/resource/?id=206,
207,Disaster Event,Shipwreck - Amelia J,The Amelia J was a wooden three mast topsail schooner. It was en route from Newcastle to Hobart on 21 August 1920 with a crew of 12 and a cargo of coal. The Amelia J failed to arrive. It was last seen off Jervis Bay in New South Wales on 5 September and believed to have disappeared either off the south coast of New South Wales or the eastern approaches to Bass Strait.,8/21/1920 0:00,8/21/1920 0:00,-35.16931915,150.803833,,,,,,12,,,,,,,,,,,,,,,,,,1,,,,,,,,Victoria,,http://www.emknowledge.gov.au/resource/?id=207,
208,Disaster Event,Transport - Bookham Coach Semi-Trailer Collision,On 7 August 1998 three people died and 19 were injured when a tour bus travelling from Melbourne to Canberra collided with a semi trailer on the Hume Highway resulting in the bus rolling onto its side. All injured passengers were taken to Yass Hospital for treatment.,8/7/1998 0:00,8/7/1998 0:00,-34.83846283,148.9116058,,,,,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=208,
209,Disaster Event,Shipwreck - Vergulde Draeck,"The Vergulde Draeck was a three masted Dutch Ship. It was en route from Texel, Netherlands departing 4 October 1655 with more than 200 passengers and crew and a rich cargo including 78,600 guilders. It wrecked at the mouth of the Moore River near Cape Leschenault Western Australia on 28 April 1656, the exact position is unknown. On striking rocks, the ship broke up immediately and it is likely over 100 drowned. The survivors made it to shore on two boats. The captain sent a crew of seven to Batavia to raise the alarm where they arrived safely on 7 June 1656. Two ships set out to rescue the survivors but could not locate them. In searching for survivors, the yacht Goede Hoop and the Waeckende Boey lost boats and 10 men. In the following years more ships attempted to find survivors and only found what appeared to be the original castaway's camp.",01/01/1753 00:00:00,01/01/1753 00:00:00,-33.30011749,115.6585693,,,,,,100,,,,,,,,,,,,,,,,,,1,,,,,,,,Western Australia,,http://www.emknowledge.gov.au/resource/?id=209,
210,Disaster Event,Bushfire - Linton (near Ballarat),"On 2 December 1998, a fire six km north of Linton and 30 km west of Ballarat in Western Victoria, burnt 660 hectares of public and private land. In the evening two CFA fire trucks became surrounded by fire. The crew managed to save themselves in one of the trucks however the other was destroyed by fire and the crew of five volunteer firefighters died.  A Coronial Inquest was undertaken and after a lengthy review process a report was produced on 11 January 2002 detailing 55 recommendations.",12/2/1998 0:00,12/2/1998 0:00,-37.68438339,143.5633545,,,,,,5,,,,,,,,,,,,,,,,2,,,,,,,,,,Victoria,,http://www.emknowledge.gov.au/resource/?id=210,
211,Disaster Event,Transport - Koolan Island Light Aircraft Crash,"The Cessna 210M was en route from Koolan Island to Derby on 23 December 1984 with five passengers and the pilot on board. The aircraft became airborne approximately 54 m before the end of the runway. It was seen to descend into a small ravine off the end of the runway, then climb steeply and strike power lines before impacting the ground in a near vertical nose down attitude. All on board died.    ",12/23/1984 0:00,12/23/1984 0:00,-16.12482,123.782787,,,,,,6,,,,,,,,,,,,,,1,,,,,,,,,,,,Western Australia,,http://www.emknowledge.gov.au/resource/?id=211,
